[0.13825522 0.14270535 0.67469548],[0.3563358 0.        0.5644527],[0.53531685 0.07644979 0.4988668 ],[0.65950598 0.26925015 0.46576264],[0.75355557 0.41908225 0.44781036],[0.41174738 0.44647333 0.42173271],[0.63621791 0.72275418 0.37736886],[0.72143988 0.61570682 0.39179757],[0.71685934 0.48873953 0.41140376],[0.31855916 0.59741435 0.46842051],[0.58574219 0.70285924 0.44235272],[0.63821553 0.54018399 0.48077453],[0.59046213 0.42674316 0.5023254 ],[0.26267161 0.66941285 0.51715166],[0.52400119 0.71785307 0.49888257],[0.55399198 0.58205738 0.5424529 ],[0.50501447 0.48760406 0.56392711],[0.23944913 0.70521686 0.56025914],[0.44147929 0.72020289 0.53770526],[0.47236267 0.61991134 0.55812429],[0.43881671 0.54937942 0.57373302]
[0.14454509 0.11349358 0.63457645],[0.35099625 0.         0.52517614],[0.51937909 0.08074106 0.47230042],[0.63184775 0.27821551 0.44981053],[0.72480165 0.43235298 0.44349935],[0.40713332 0.41378357 0.4291372 ],[0.59784263 0.662997   0.40053559],[0.6884306  0.62711077 0.42468996],[0.71661076 0.53620008 0.44897533],[0.32370507 0.55660713 0.47853345],[0.56544232 0.69444239 0.45646146],[0.63935929 0.58530786 0.48629596],[0.63904578 0.47725498 0.50587822],[0.27412425 0.63353955 0.52839714],[0.51051106 0.71622288 0.5087952 ],[0.55901759 0.61246126 0.54019629],[0.54788309 0.51864748 0.55790032],[0.25093422 0.66812234 0.57159374],[0.43554964 0.70810677 0.5402468 ],[0.48640258 0.62837737 0.54453772],[0.48643795 0.55601546 0.55246273]
[0.12186841 0.11742983 0.62053999],[0.3314097  0.         0.51231752],[0.51079291 0.08271488 0.46580905],[0.63107149 0.2838855  0.45179905],[0.71447118 0.44026758 0.45427929],[0.39365408 0.42880134 0.41386445],[0.58084304 0.6797847  0.39506537],[0.68078623 0.65021939 0.43031849],[0.71679917 0.55363234 0.46226143],[0.31318034 0.57140181 0.46905788],[0.56501851 0.68650291 0.45129778],[0.64985389 0.57009454 0.4887029 ],[0.65016085 0.45044511 0.51472168],[0.2701259  0.64762564 0.52541776],[0.51671681 0.7015851  0.50921543],[0.57947305 0.59203525 0.54069438],[0.57490578 0.48876414 0.55926638],[0.25329735 0.68242076 0.57569672],[0.43586745 0.70797965 0.54832607],[0.49921829 0.62227312 0.55181962],[0.51048558 0.54213641 0.55952876]
[0.14740134 0.11318922 0.60691815],[0.35584074 0.         0.49934737],[0.51902562 0.08680571 0.45681055],[0.62439168 0.26972819 0.44237784],[0.70104358 0.42028809 0.44285598],[0.40741461 0.46369781 0.43770304],[0.58711276 0.69937213 0.41467346],[0.68795225 0.6643769  0.43516536],[0.72184861 0.55596748 0.45834953],[0.32519435 0.5800803  0.48909767],[0.54805586 0.68758015 0.46914022],[0.62848441 0.57376022 0.49119264],[0.62588934 0.44904126 0.50827619],[0.28033574 0.63300915 0.5378994 ],[0.50140555 0.70535193 0.51206621],[0.56782344 0.5993707  0.52784483],[0.56338284 0.48959077 0.53997539],[0.26667403 0.65486355 0.58129036],[0.43842222 0.70321707 0.5464325 ],[0.49793954 0.61921161 0.54692689],[0.50436149 0.53149777 0.55565641]
[0.16869285 0.08022616 0.5901871 ],[0.40211044 0.         0.50557995],[0.57509689 0.12747703 0.47471852],[0.66444182 0.3484034  0.46685066],[0.7116649  0.511059   0.47212442],[0.42222238 0.41777286 0.44605884],[0.59304459 0.68675065 0.42492141],[0.69586771 0.65670532 0.44062414],[0.72757007 0.5668451  0.45983962],[0.33116907 0.51564142 0.48635092],[0.53290188 0.69351173 0.46937786],[0.61964185 0.58924086 0.48972763],[0.61198243 0.47412667 0.50623691],[0.27849442 0.55852302 0.52591235],[0.4798245  0.70974226 0.50061386],[0.5486442  0.611752   0.51605335],[0.53069614 0.50273691 0.53083135],[0.25601002 0.57732052 0.56262077],[0.41359147 0.70027492 0.53532532],[0.47322276 0.6307929  0.54188757],[0.46310963 0.54109729 0.55415745]
[0.18944187 0.06166196 0.58637849],[0.40070417 0.         0.49866326],[0.55180175 0.11942609 0.46821596],[0.63191765 0.32725356 0.45611033],[0.68849538 0.48203155 0.4559271 ],[0.40639705 0.44386447 0.47624234],[0.56825661 0.68714208 0.44564945],[0.67095168 0.65021978 0.44081815],[0.70480908 0.56099335 0.44483971],[0.33067944 0.53757541 0.51201262],[0.52896429 0.68991261 0.48595161],[0.60756509 0.59610481 0.48742355],[0.60366484 0.48676955 0.49147622],[0.29088563 0.57549655 0.54242832],[0.4901834  0.69716146 0.50845704],[0.5563996  0.60768635 0.51053793],[0.55011456 0.50979111 0.51714859],[0.28218281 0.59206958 0.56860158],[0.44060275 0.69776118 0.53292828],[0.50184532 0.62976884 0.53142465],[0.50413703 0.5473097  0.53876481]
[0.22637249 0.03057685 0.56169112],[0.42994752 0.         0.44989512],[0.56711724 0.15297351 0.4188625 ],[0.63584805 0.3759404  0.41465704],[0.68105402 0.54765553 0.42536001],[0.42011268 0.4263614  0.44785105],[0.55084707 0.69351529 0.42978041],[0.65709972 0.66756328 0.43094835],[0.70112969 0.58341889 0.4382533 ],[0.34448117 0.49264122 0.5047597 ],[0.50172353 0.69867965 0.49938595],[0.59781689 0.63497329 0.50574632],[0.61782008 0.53366289 0.50919855],[0.30598296 0.5094301  0.55460082],[0.46388731 0.69146793 0.53428206],[0.53962249 0.61936679 0.53310417],[0.5524663  0.52377571 0.53484969],[0.29337671 0.51586274 0.59855551],[0.42454325 0.65737413 0.57178385],[0.48850595 0.60986479 0.56702891],[0.50024488 0.5348956  0.56940554]
[0.26141278 0.02007776 0.59656652],[0.45827113 0.         0.47420422],[0.57400966 0.17071589 0.43897121],[0.61472598 0.41871451 0.4322813 ],[0.63583442 0.58659549 0.44169118],[0.39439381 0.43285511 0.45132737],[0.52220342 0.72922898 0.42084067],[0.62060919 0.67391032 0.42724406],[0.63957144 0.57358871 0.43926375],[0.33282112 0.4975063  0.51054628],[0.5149567  0.70587391 0.48121465],[0.60429118 0.60186313 0.49214881],[0.5942143  0.4961092  0.50552989],[0.31222429 0.5200668  0.56178971],[0.49855116 0.68154855 0.51446422],[0.56273721 0.58561365 0.51686608],[0.54222282 0.49407496 0.52878565],[0.31886033 0.5360313  0.60746792],[0.47328874 0.66256119 0.55628673],[0.521379   0.59424526 0.54816364],[0.50342132 0.51881898 0.55434615]
[0.34742343 0.         0.54924334],[0.45701232 0.06675844 0.38941789],[0.51469121 0.24824236 0.35128524],[0.53808158 0.45607371 0.34708913],[0.55924824 0.61001455 0.36231392],[0.38106594 0.51222708 0.45567898],[0.45092226 0.77324839 0.41976438],[0.54737758 0.73862433 0.40283254],[0.60476308 0.64963672 0.40380726],[0.37604676 0.52014174 0.54141626],[0.50226353 0.70571648 0.5057353 ],[0.57408464 0.6108837  0.48801868],[0.58116729 0.49153413 0.49181836],[0.38610218 0.50890103 0.6104659 ],[0.52090705 0.62027304 0.56454574],[0.57380295 0.52160571 0.53950451],[0.57599957 0.41495145 0.54061149],[0.39448487 0.50099908 0.66926893],[0.50207853 0.59486569 0.63188115],[0.55181365 0.5221276  0.61570779],[0.56066336 0.43317478 0.6195932 ]
[0.41981884 0.02709209 0.6143262 ],[0.51416876 0.06471117 0.46275611],[0.53296121 0.2171872  0.41467021],[0.5147081  0.39080163 0.39361508],[0.51327355 0.52747212 0.37950464],[0.38584954 0.48154194 0.48754552],[0.41847483 0.74678169 0.44119911],[0.42900356 0.8902247  0.41762844],[0.4260667  1.         0.40730731],[0.39137248 0.50874532 0.55342452],[0.49969494 0.68408901 0.46830678],[0.5720997  0.58281367 0.43767491],[0.58805483 0.46232946 0.44868997],[0.4142881  0.51368485 0.60872198],[0.53897163 0.60707061 0.52214044],[0.59197623 0.48379465 0.50359821],[0.58411424 0.37655626 0.52481814],[0.43911586 0.51025932 0.65447959],[0.54926952 0.56821874 0.58952603],[0.59263939 0.47503745 0.57672751],[0.58407796 0.38158813 0.59333931]
[0.44861449 0.         0.67114103],[0.57402748 0.04995222 0.51868989],[0.5988457  0.20457548 0.44981009],[0.56377786 0.38315507 0.41252016],[0.54687393 0.53212473 0.38567536],[0.40962764 0.44849425 0.47997661],[0.41652913 0.68515065 0.41227832],[0.45318477 0.6816046  0.37651727],[0.46183545 0.65924498 0.35959312],[0.37275025 0.49708485 0.53962053],[0.47569053 0.7268207  0.46335271],[0.56407776 0.63606636 0.44481581],[0.59445459 0.5125182  0.45027674],[0.37125711 0.51811716 0.59105257],[0.49298204 0.68621872 0.51385393],[0.56183583 0.58246135 0.5138114 ],[0.57715005 0.47055842 0.53488934],[0.38528564 0.52736065 0.63405847],[0.49976916 0.64762771 0.57496703],[0.5600107  0.5696394  0.57691229],[0.57141988 0.48122452 0.59618734]
