[0.4255508  0.         0.44061496],[0.54211232 0.12111577 0.33105306],[0.5901216  0.30749033 0.31406871],[0.60125472 0.49153555 0.3233872 ],[0.61857973 0.64048336 0.34408733],[0.44923746 0.43038023 0.42145669],[0.47608601 0.63057931 0.45289542],[0.53713626 0.6961493  0.46558492],[0.58244675 0.71115389 0.47330948],[0.40600336 0.41158643 0.49300152],[0.44292418 0.59849157 0.54098975],[0.51642291 0.66334304 0.54879993],[0.57276393 0.67265552 0.54619282],[0.39421086 0.38596234 0.55392232],[0.43994071 0.54262105 0.58894536],[0.50262212 0.59359377 0.58659119],[0.55525867 0.60819042 0.577957  ],[0.39436307 0.37099164 0.60600858],[0.43952105 0.50652967 0.62778329],[0.48573525 0.55317707 0.63159874],[0.52770824 0.56396973 0.63175174]
[0.43792047 0.         0.49802789],[0.56839095 0.11365298 0.42921912],[0.61267719 0.3102069  0.41885352],[0.61368752 0.49769522 0.42703528],[0.62785706 0.63312003 0.44559965],[0.47194554 0.41109908 0.45202471],[0.4984412  0.63703676 0.4525572 ],[0.55945955 0.69061365 0.45307776],[0.59272118 0.69561293 0.45638059],[0.40390342 0.40367785 0.49367902],[0.4520608  0.61455028 0.51012275],[0.52073312 0.67198932 0.51770588],[0.56995443 0.6727457  0.51872839],[0.37433956 0.38259755 0.52997444],[0.42621172 0.56093101 0.53899881],[0.49248714 0.60937957 0.54487746],[0.54004513 0.61530666 0.54588752],[0.36546947 0.36420436 0.56160423],[0.4084847  0.50656691 0.56263699],[0.46148308 0.55055041 0.56865573],[0.50172675 0.55846283 0.57435308]
[0.4148952  0.         0.49262599],[0.54804834 0.10411471 0.41687021],[0.59522957 0.29102367 0.4056967 ],[0.59474273 0.4741448  0.414772  ],[0.60785681 0.61295261 0.43357927],[0.45875486 0.40285826 0.4519307 ],[0.52635372 0.60067087 0.45950061],[0.58849722 0.65230932 0.46115055],[0.62312109 0.67582443 0.46261717],[0.39273854 0.41385722 0.49709964],[0.46183527 0.60534993 0.51447489],[0.53040846 0.65698517 0.51690058],[0.58049141 0.67207719 0.51469478],[0.36587705 0.40675169 0.53667012],[0.42971064 0.57601271 0.54235723],[0.49496482 0.61735413 0.54213149],[0.5417381  0.63203337 0.5406865 ],[0.36151417 0.39882187 0.57136852],[0.41220986 0.53896334 0.57091244],[0.46480654 0.57876954 0.574754  ],[0.50620559 0.58912518 0.57920659]
[0.43316718 0.         0.49090107],[0.55536319 0.09997828 0.41350165],[0.60792741 0.28707522 0.40217118],[0.61391258 0.46741512 0.41169   ],[0.62521104 0.60299662 0.43194933],[0.4523573  0.4015108  0.44947145],[0.48344672 0.61348704 0.45873656],[0.54010542 0.68321222 0.46204185],[0.57805778 0.70471991 0.4653772 ],[0.39788626 0.39965266 0.4963495 ],[0.45578975 0.59548712 0.5200736 ],[0.52426291 0.67238964 0.52731209],[0.58122122 0.68986665 0.52693601],[0.37866951 0.38420875 0.53649003],[0.43408803 0.55905711 0.54736741],[0.49934513 0.62008425 0.546203  ],[0.55434828 0.64001926 0.54259961],[0.37507525 0.37362427 0.571489  ],[0.41991423 0.52317107 0.5678288 ],[0.47201046 0.57945255 0.56559734],[0.51784034 0.60259145 0.56591331]
[0.41648922 0.         0.52475875],[0.53909008 0.08449068 0.46726683],[0.599456   0.26760151 0.45683305],[0.6084952  0.43414382 0.46069849],[0.61513234 0.54412218 0.47286005],[0.46419143 0.37668186 0.47866191],[0.52677546 0.57300078 0.47112523],[0.57959065 0.64977657 0.46664589],[0.6093478  0.69491873 0.4648208 ],[0.40474202 0.39562194 0.50472061],[0.45803282 0.59422808 0.5034209 ],[0.51594509 0.67314445 0.50407677],[0.56047245 0.71099476 0.50466863],[0.37910348 0.39804541 0.52603955],[0.43041624 0.57903449 0.51631389],[0.4866256  0.64613715 0.51610953],[0.52736689 0.68030456 0.51865786],[0.37815096 0.39492961 0.54346794],[0.42217286 0.54818532 0.53007341],[0.47015635 0.61162584 0.53159417],[0.50824707 0.64301226 0.53718575]
[0.42280583 0.         0.51507215],[0.54603129 0.08700397 0.4341503 ],[0.60335098 0.27251672 0.41904887],[0.61074948 0.45839732 0.42425133],[0.62204498 0.6002746  0.43994104],[0.43920836 0.39413796 0.46734966],[0.48661098 0.59563628 0.46430956],[0.54717307 0.66367235 0.4593359 ],[0.58649557 0.69481418 0.45634632],[0.38710743 0.40371651 0.50884428],[0.4525857  0.58824702 0.51574131],[0.52151435 0.66190628 0.51657481],[0.57733859 0.68688435 0.5139288 ],[0.3714963  0.39782172 0.54236661],[0.43939953 0.56857968 0.53567005],[0.5070516  0.62539506 0.53312404],[0.56212959 0.65108839 0.53183273],[0.37421165 0.39327306 0.57007805],[0.42960409 0.54121719 0.55355605],[0.48404956 0.59339294 0.5490035 ],[0.52904107 0.62202443 0.54947466]
[0.39997049 0.         0.50481283],[0.51978979 0.07018665 0.43114754],[0.58463654 0.25828379 0.4198589 ],[0.60249112 0.44388492 0.42515357],[0.61752013 0.58475622 0.44005362],[0.46789515 0.37274555 0.47653784],[0.52571557 0.56591927 0.47709641],[0.57785955 0.6359974  0.47311218],[0.60801777 0.67584906 0.46936725],[0.41426814 0.39544003 0.51195541],[0.47428265 0.58435475 0.51966339],[0.52792164 0.66086232 0.51814422],[0.56735286 0.69527522 0.51375081],[0.39092419 0.40096068 0.53873059],[0.43553386 0.58633811 0.53315761],[0.48738422 0.65146482 0.52900296],[0.5285275  0.68509542 0.52630345],[0.38398276 0.40140476 0.55977494],[0.42109872 0.55629607 0.54654538],[0.46431025 0.62015181 0.5429913 ],[0.50051709 0.65473314 0.54283977]
[0.37464926 0.         0.50229199],[0.4990655  0.05777897 0.38841737],[0.5695941  0.24147711 0.36400516],[0.59424802 0.44343697 0.36419801],[0.60977463 0.60237048 0.3803254 ],[0.42123123 0.43265554 0.46164612],[0.49851436 0.65028007 0.45536542],[0.58480096 0.64938008 0.44673333],[0.61480797 0.60134982 0.44445519],[0.37953214 0.44878085 0.52224566],[0.46563596 0.64692001 0.52913033],[0.54947349 0.65575312 0.52422674],[0.58879165 0.61538485 0.52082214],[0.36679919 0.43985476 0.57013062],[0.44873772 0.61909412 0.56181905],[0.52753941 0.62440392 0.5532104 ],[0.57041317 0.59671643 0.54965725],[0.36558051 0.43042686 0.60959492],[0.43777458 0.58308101 0.58930648],[0.50013797 0.59156633 0.58106132],[0.53289819 0.56928873 0.58135708]
[0.3350574 0.        0.5302975],[0.48028781 0.04988404 0.39587037],[0.57031801 0.22699187 0.36002533],[0.6200869  0.42325034 0.35349475],[0.64667596 0.59271903 0.36333813],[0.41920495 0.4498369  0.44820506],[0.49248984 0.6812159  0.43860287],[0.58703016 0.69948954 0.43492877],[0.64243037 0.64477488 0.43707832],[0.36155378 0.46146104 0.52046813],[0.46432682 0.64488682 0.52016918],[0.56245391 0.65658369 0.51317536],[0.6195771  0.59890578 0.50732291],[0.33926378 0.44978628 0.58091859],[0.44431309 0.60546757 0.5689078 ],[0.53113156 0.60583762 0.55504141],[0.58327725 0.56227581 0.54730496],[0.33048418 0.43672544 0.63222243],[0.42124414 0.5736889  0.60853341],[0.49870832 0.58434406 0.59419169],[0.55008468 0.55187448 0.58990305]
[0.29995241 0.         0.51315445],[0.47036439 0.04506643 0.4182256 ],[0.58139009 0.21742145 0.39176766],[0.65299038 0.40727842 0.38485337],[0.70877693 0.55773933 0.390906  ],[0.43987844 0.46426922 0.4598286 ],[0.54087243 0.68150289 0.45728759],[0.62030256 0.67256631 0.45532129],[0.66155793 0.61183441 0.45688157],[0.36269334 0.48669767 0.51070618],[0.48267194 0.66016197 0.51694435],[0.56869357 0.6426593  0.51157399],[0.61513717 0.57885912 0.50423385],[0.32308449 0.47512638 0.55460134],[0.43339859 0.6339105  0.55248972],[0.50892848 0.61573284 0.54737391],[0.55528037 0.56234683 0.54219735],[0.30423546 0.44977755 0.59203543],[0.39226322 0.58983808 0.58208879],[0.46312073 0.59185726 0.57866966],[0.51440708 0.55535402 0.57885929]
[0.23334317 0.00255347 0.59963267],[0.43265145 0.         0.54212512],[0.58483264 0.14131243 0.51078697],[0.66435953 0.33161591 0.4934339 ],[0.71733851 0.48072562 0.48644761],[0.46123048 0.36235037 0.47070757],[0.57223914 0.64086419 0.4370234 ],[0.66079954 0.61994084 0.4426318 ],[0.69014201 0.54635278 0.45535085],[0.3601824  0.4472843  0.49125339],[0.51948907 0.72091223 0.45752209],[0.62200662 0.66172853 0.47439588],[0.64398133 0.5699822  0.4920333 ],[0.2921768  0.48932215 0.51217157],[0.44719073 0.74059266 0.4865619 ],[0.53397722 0.67706666 0.50904335],[0.55452061 0.5834772  0.52904246],[0.24575259 0.50168358 0.53007705],[0.36147762 0.68745832 0.51523938],[0.43771394 0.67344727 0.52626233],[0.4645946  0.62132928 0.53825741]
[0.26042731 0.         0.65006395],[0.45119993 0.0226072  0.61688091],[0.59479295 0.1846418  0.57769812],[0.67873971 0.37492593 0.54833755],[0.76186922 0.50996573 0.52713842],[0.47257988 0.28201945 0.48715326],[0.59992279 0.56251189 0.42517465],[0.67221979 0.59216851 0.42322903],[0.68878512 0.54709027 0.44014483],[0.36675074 0.36645703 0.48497241],[0.52834752 0.67929575 0.42381394],[0.60643807 0.6633922  0.44673556],[0.61278124 0.58901008 0.47700705],[0.28261175 0.42990725 0.48639057],[0.44053761 0.73343467 0.4449134 ],[0.51991537 0.70970504 0.49080103],[0.53142047 0.63706188 0.53636695],[0.22087109 0.46472813 0.4867258 ],[0.34482196 0.72951196 0.4735954 ],[0.42173438 0.73884647 0.50915725],[0.44323307 0.68271874 0.54369992]
[0.27221424 0.         0.65291365],[0.46076044 0.0465901  0.63009478],[0.61295585 0.18703458 0.59612186],[0.6999813  0.35395693 0.56581296],[0.75945411 0.49744581 0.54271738],[0.52203309 0.23068695 0.50785507],[0.64085128 0.50000818 0.43006211],[0.68281047 0.56637668 0.41284219],[0.68256009 0.5409394  0.4243872 ],[0.4083482  0.32986149 0.49812488],[0.53782382 0.6475226  0.43268248],[0.59254805 0.68752804 0.44982302],[0.59653939 0.62546273 0.48118233],[0.30011985 0.41036173 0.49042637],[0.41706573 0.71807867 0.43847591],[0.49174912 0.74460051 0.48133074],[0.51323007 0.68313936 0.53258496],[0.20740946 0.46221418 0.48225785],[0.29329703 0.73125858 0.45082319],[0.38090385 0.78449684 0.48007935],[0.42734454 0.75243663 0.5194017 ]
[0.25020434 0.         0.68545006],[0.44560053 0.05781158 0.66936881],[0.62808329 0.21150197 0.63105194],[0.75071952 0.39594655 0.59802204],[0.82396075 0.54125015 0.5773996 ],[0.58534184 0.18506466 0.51169822],[0.71163634 0.49952464 0.42447108],[0.7086288  0.61952774 0.41144157],[0.6561448  0.58814208 0.43024707],[0.45589703 0.25706354 0.49474819],[0.57087515 0.62453564 0.41070416],[0.57866069 0.71850956 0.42748012],[0.55744674 0.66698107 0.4616798 ],[0.31928457 0.33133691 0.48307744],[0.42002152 0.69907    0.41966587],[0.44736661 0.76143756 0.46983762],[0.45381829 0.69708278 0.52767675],[0.19211381 0.39243454 0.47258797],[0.26270964 0.71186301 0.4298065 ],[0.32099109 0.78867974 0.4603607 ],[0.36049466 0.75223626 0.50322449]
[0.2190333  0.         0.74076602],[0.42984044 0.06163844 0.71620386],[0.63973265 0.20785829 0.66395998],[0.78385504 0.38744963 0.61799744],[0.85272146 0.54357821 0.57688495],[0.61000017 0.16302543 0.54591423],[0.74655962 0.41637113 0.44080755],[0.75156405 0.59953266 0.38913674],[0.70364854 0.68326796 0.37060809],[0.47676738 0.22433564 0.52069898],[0.58413002 0.57874875 0.42496427],[0.57610841 0.7446388  0.40955177],[0.53549548 0.76534089 0.41123354],[0.32424459 0.29298355 0.50216861],[0.42144871 0.65370345 0.42741953],[0.42568837 0.79126398 0.44406271],[0.41804312 0.78880556 0.46858026],[0.17814122 0.35798812 0.4857509 ],[0.23972528 0.66327433 0.43171129],[0.2775761  0.78091149 0.44451954],[0.30567605 0.79528369 0.46705975]
[0.21113327 0.         0.73593867],[0.40800596 0.06304403 0.72208247],[0.6173468  0.24512802 0.67283595],[0.75471522 0.46090441 0.62634216],[0.84671382 0.6295136  0.58532356],[0.63344451 0.15441291 0.56627598],[0.77748456 0.42476874 0.46440883],[0.75187341 0.61672006 0.41120537],[0.68448765 0.69940252 0.38882611],[0.50453968 0.20129248 0.52784536],[0.60729249 0.54315986 0.43584584],[0.58951718 0.72216547 0.41624777],[0.54392501 0.76697479 0.41022555],[0.3453114  0.2625519  0.49382276],[0.42996398 0.60264058 0.42345153],[0.42407667 0.76668619 0.43464558],[0.40622333 0.81061008 0.4489078 ],[0.18380771 0.33599529 0.46162481],[0.2379042  0.61766929 0.41200128],[0.26339657 0.75614646 0.42305766],[0.27883658 0.82021334 0.43908496]
