[0.35078519 1.         0.66234708],[0.54249547 0.93425885 0.56755798],[0.69096727 0.85911004 0.49446436],[0.71978698 0.75603956 0.42388978],[0.70966762 0.63384301 0.36187523],[0.72482634 0.24690658 0.58558647],[0.69840043 0.28519244 0.46023315],[0.64505002 0.49112969 0.36164127],[0.59309376 0.70751193 0.31707006],[0.58463519 0.14838977 0.59605502],[0.52556048 0.24621322 0.49868271],[0.48992267 0.48773576 0.44053172],[0.46512682 0.72156197 0.42155933],[0.4461182  0.12525123 0.5930154 ],[0.40238907 0.25058747 0.50707786],[0.38228961 0.46882725 0.4990959 ],[0.3660123  0.68511136 0.51963466],[0.31477814 0.16112892 0.58004018],[0.27517545 0.26369487 0.51997992],[0.28093147 0.43233105 0.52788469],[0.29198753 0.59517504 0.56177725]
[0.20418169 0.7781757  0.68420854],[0.42483137 0.80353651 0.61903398],[0.60211838 0.85798209 0.53393977],[0.69265242 0.91840344 0.43535252],[0.71409571 0.94060775 0.33660436],[0.79515003 0.20929325 0.61770833],[0.87075817 0.32705338 0.47090311],[0.83134369 0.52687653 0.35381097],[0.748593   0.72735009 0.3032973 ],[0.64459739 0.04787049 0.60233234],[0.58605155 0.25772759 0.49784404],[0.52061442 0.53329593 0.44248515],[0.46033674 0.7787089  0.42780113],[0.45615713 0.         0.57377724],[0.38085255 0.23906751 0.48789056],[0.35148405 0.49851311 0.48266723],[0.31782894 0.72509828 0.50867002],[0.27763661 0.0278705  0.53612784],[0.22143454 0.22130129 0.4954536 ],[0.20829879 0.44495358 0.52214749],[0.19098282 0.63631411 0.5679445 ]
[0.24163092 0.54167842 0.74022915],[0.44818849 0.62313128 0.66707967],[0.60968986 0.69883664 0.58345541],[0.70061274 0.77311462 0.48899644],[0.70003382 0.80069738 0.39460366],[0.77999331 0.12961842 0.63158094],[0.86713266 0.32835122 0.46617826],[0.83846178 0.56804606 0.35007495],[0.76815345 0.7798606  0.30303459],[0.61257077 0.0208679  0.60851249],[0.58897322 0.32691076 0.47593056],[0.55297558 0.61774483 0.42366502],[0.51530466 0.83398219 0.4124183 ],[0.41352423 0.         0.57127607],[0.36552737 0.36368653 0.45575462],[0.34294885 0.60509386 0.44639331],[0.31877985 0.76903105 0.47061268],[0.2257766  0.04218089 0.52524939],[0.19244821 0.36852767 0.46956358],[0.20348567 0.58434548 0.48911547],[0.21378796 0.7242942  0.52627542]
[0.28029306 0.40135618 0.78210515],[0.48735002 0.47672374 0.71664196],[0.64455293 0.58660297 0.62569317],[0.74422441 0.71477209 0.51953393],[0.78633305 0.83500882 0.40809371],[0.79381822 0.11506615 0.64986899],[0.86428002 0.42035483 0.47632858],[0.82934531 0.66650427 0.35211518],[0.76317794 0.87180958 0.29471753],[0.6074684  0.02282623 0.61272159],[0.59136692 0.37887387 0.46304865],[0.54150634 0.66037124 0.4034324 ],[0.49236236 0.86522933 0.38474273],[0.39824461 0.         0.56458823],[0.35521405 0.38206919 0.43417247],[0.32215456 0.63144402 0.42846019],[0.28807115 0.79841466 0.45520085],[0.20099788 0.03179954 0.50852633],[0.16882957 0.35719905 0.44329185],[0.17129782 0.57121941 0.46858327],[0.16911138 0.71235484 0.50813323]
[0.36851651 0.41004575 0.83206164],[0.5718494  0.49934819 0.72939442],[0.72009707 0.64506552 0.61587805],[0.80983796 0.82849898 0.49248793],[0.828108   1.         0.35807591],[0.80224521 0.1512826  0.61453303],[0.81332713 0.43633265 0.43923408],[0.75420482 0.66643731 0.30714959],[0.67861895 0.85922014 0.24065801],[0.61426401 0.0497772  0.59833743],[0.53068994 0.3730036  0.46739241],[0.47819408 0.61570438 0.41037314],[0.42985911 0.82111829 0.37740763],[0.42336676 0.0254842  0.5751159 ],[0.33379552 0.32277961 0.46397383],[0.30419711 0.56485454 0.45298529],[0.28013565 0.76139018 0.4648351 ],[0.25326932 0.04811629 0.53964002],[0.18223978 0.29211175 0.48197498],[0.16762799 0.48374604 0.50412535],[0.1555557  0.64568277 0.53436627]
[0.40837202 0.31466218 0.86066977],[0.58038551 0.41430618 0.76409146],[0.70429375 0.55674658 0.65235472],[0.76238375 0.71148635 0.53239972],[0.74319133 0.86791917 0.40116378],[0.84795121 0.13335959 0.65271706],[0.86612085 0.4392594  0.46430094],[0.81082814 0.68054934 0.32865839],[0.73124246 0.89243378 0.26352185],[0.65055255 0.02988485 0.61747851],[0.5650532  0.40503776 0.45038997],[0.50464259 0.69934387 0.38784381],[0.4507692  0.92963496 0.36611418],[0.43101465 0.         0.57208664],[0.33862824 0.35370663 0.42025564],[0.29135951 0.63333536 0.41251388],[0.25760653 0.84478985 0.43948062],[0.2366623  0.0308856  0.51724668],[0.14488207 0.32881817 0.43199217],[0.10261174 0.54046226 0.46057347],[0.07144841 0.69337812 0.50414673]
[0.41529088 0.62485456 0.82712029],[0.65209719 0.65126578 0.70437269],[0.82985738 0.70718523 0.58538251],[0.872      0.86369414 0.46245373],[0.79957637 1.         0.33274333],[0.82911942 0.17202426 0.61376078],[0.80817519 0.32047363 0.43429399],[0.73579413 0.57654827 0.3015634 ],[0.66355111 0.8242176  0.23592005],[0.61270516 0.05090277 0.60983501],[0.53634787 0.24393249 0.46033228],[0.4731062  0.57902406 0.40023385],[0.41921099 0.87802379 0.37862399],[0.40825378 0.02399484 0.59374338],[0.32608245 0.24881698 0.47408137],[0.27716333 0.55806047 0.4579689 ],[0.23283972 0.81335199 0.47366199],[0.23650116 0.05318182 0.56544364],[0.15290098 0.21717357 0.50803404],[0.12294508 0.44782072 0.52600674],[0.09648161 0.64545303 0.55442404]
[0.42498495 0.21145933 0.86513076],[0.64752985 0.25236016 0.76555649],[0.77499588 0.38778515 0.65289518],[0.79989702 0.60863726 0.53267373],[0.76969808 0.84726432 0.40381671],[0.81138262 0.02104739 0.64781435],[0.8392141  0.35190134 0.45711811],[0.81282462 0.64559849 0.32428324],[0.77105422 0.88569821 0.26030767],[0.56933864 0.         0.60993217],[0.53766567 0.36521262 0.44599135],[0.50387672 0.69471179 0.39068781],[0.47723509 0.92437539 0.37051757],[0.34049758 0.04303318 0.56260568],[0.29965467 0.44118017 0.40387527],[0.2890509  0.7477061  0.41074983],[0.28389963 0.95121397 0.4498626 ],[0.16565056 0.13996089 0.50536134],[0.12972791 0.46694951 0.42765832],[0.12937763 0.68513978 0.47804735],[0.12244361 0.82876497 0.53511448]
[0.44467597 0.32263784 0.87285591],[0.61093344 0.27574082 0.73101785],[0.7225974  0.33824499 0.60204429],[0.74669856 0.52834508 0.49193434],[0.71017325 0.73697512 0.37572139],[0.64979327 0.         0.51933451],[0.74822679 0.28416089 0.3808904 ],[0.76356608 0.51402241 0.2956168 ],[0.77989462 0.71569435 0.24917537],[0.44560277 0.03450684 0.53558821],[0.49755775 0.41801764 0.44225055],[0.51968042 0.61245319 0.4127673 ],[0.56031224 0.77185772 0.38157725],[0.27703049 0.14214207 0.55453621],[0.33070871 0.57920564 0.49041042],[0.37892691 0.74734848 0.49119104],[0.42880481 0.85893302 0.4838167 ],[0.14041252 0.28155139 0.55998578],[0.18578131 0.64917953 0.525275  ],[0.24897784 0.79551848 0.54621682],[0.30964484 0.8934645  0.55779387]
[0.35804237 0.3686528  0.89431146],[0.54483802 0.32319239 0.78138883],[0.67740258 0.37195626 0.66276479],[0.758084   0.52812189 0.5472059 ],[0.79447689 0.67756557 0.42972817],[0.68206808 0.         0.63980534],[0.77856997 0.24380684 0.45098934],[0.82333298 0.5121053  0.32918006],[0.8560433  0.72465387 0.26740584],[0.4623648  0.05262407 0.61003114],[0.49351519 0.35805276 0.43653406],[0.53884685 0.65014483 0.38455368],[0.58324327 0.8339744  0.36389526],[0.26684139 0.17937866 0.5697318 ],[0.30957892 0.49392316 0.40137643],[0.37902071 0.76004177 0.40372974],[0.43794352 0.92199889 0.43556045],[0.12955292 0.34245402 0.52084875],[0.15663926 0.56804535 0.42355903],[0.21047694 0.74240325 0.45302994],[0.25911802 0.84690391 0.49436997]
[0.50459061 0.70114592 0.92882386],[0.72018164 0.60353133 0.7352825 ],[0.87948827 0.60467194 0.57821202],[0.95679904 0.73408566 0.43628946],[0.96436766 0.84385228 0.29596179],[0.64564197 0.         0.61925657],[0.69246769 0.0189754  0.40438608],[0.69492896 0.28993034 0.26602642],[0.72947107 0.53854784 0.19668202],[0.40181183 0.04906449 0.63770173],[0.40490113 0.10314722 0.4488942 ],[0.44790067 0.42692105 0.3841504 ],[0.53949159 0.68328482 0.37023904],[0.22017854 0.19985865 0.63761241],[0.24315118 0.38613576 0.47290368],[0.31975557 0.68372324 0.44494742],[0.42067299 0.89924849 0.46328455],[0.09604803 0.38925676 0.62355424],[0.11376737 0.60581495 0.51677173],[0.19818622 0.80450667 0.50919013],[0.30619796 0.9342972  0.52982977]
[0.37361626 0.43868376 0.83110692],[0.49556898 0.32728982 0.73035526],[0.60561472 0.32002518 0.62502441],[0.72570534 0.43906847 0.52109717],[0.81632338 0.56718913 0.41300418],[0.52393969 0.         0.63323246],[0.62635617 0.24313831 0.47949128],[0.69318094 0.44707497 0.35830274],[0.74342885 0.61163773 0.28678581],[0.38576325 0.1359015  0.61087517],[0.44601526 0.4135067  0.46056603],[0.52587413 0.63688771 0.38378898],[0.58899136 0.78806611 0.34131079],[0.27886119 0.30756182 0.58048692],[0.36361618 0.55951336 0.44415856],[0.46235326 0.72118507 0.4147945 ],[0.52586322 0.82137715 0.41688459],[0.21687455 0.48248525 0.54209227],[0.30334923 0.65998277 0.46413451],[0.37343884 0.76131978 0.47199204],[0.4252652  0.81810541 0.4905154 ]
[0.52260146 0.63349595 0.88804836],[0.64969669 0.45532776 0.73057206],[0.77906389 0.3433087  0.58472334],[0.89995617 0.34093311 0.4470868 ],[0.96913163 0.43583536 0.30820905],[0.3920752  0.         0.61884217],[0.43684795 0.05286066 0.41053814],[0.5464266  0.21532256 0.27110318],[0.66140176 0.39150757 0.20645347],[0.25269241 0.19463377 0.62782442],[0.32137724 0.36213562 0.44487131],[0.48499721 0.52191105 0.38321132],[0.6266053  0.64026027 0.3720266 ],[0.1833372  0.42631925 0.62112205],[0.30725483 0.62935623 0.47385914],[0.46855177 0.74152951 0.46497867],[0.59178428 0.81734846 0.49341391],[0.17015285 0.63751535 0.59988638],[0.28942834 0.82312217 0.50664384],[0.42284096 0.90342857 0.50919378],[0.52377624 0.93384809 0.53739202]
